Pitcher: 453286 | FF: 126 | SL: 71 | CU: 24 | CH: 44 | FS: 0 | SI: 0 | KC: 0 | FC: 31 | CS: 0 | None: 0 | 
Pitcher: 592332 | FF: 90 | SL: 20 | CU: 0 | CH: 3 | FS: 62 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 666808 | FF: 0 | SL: 46 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 29 | CS: 0 | None: 0 | 
Pitcher: 643511 | FF: 34 | SL: 30 | CU: 0 | CH: 0 | FS: 0 | SI: 3 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 657277 | FF: 11 | SL: 92 | CU: 0 | CH: 98 | FS: 0 | SI: 85 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 521230 | FF: 47 | SL: 13 | CU: 4 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 518886 | FF: 40 | SL: 0 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 19 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 607481 | FF: 0 | SL: 21 | CU: 0 | CH: 0 | FS: 0 | SI: 37 | KC: 0 | FC: 12 | CS: 0 | None: 0 | 
Pitcher: 572193 | FF: 45 | SL: 42 | CU: 0 | CH: 7 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 621121 | FF: 0 | SL: 41 | CU: 0 | CH: 23 | FS: 0 | SI: 61 | KC: 47 | FC: 5 | CS: 0 | None: 0 | 
Pitcher: 676979 | FF: 48 | SL: 24 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 656629 | FF: 80 | SL: 38 | CU: 2 | CH: 2 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 607074 | FF: 31 | SL: 22 | CU: 0 | CH: 3 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 459429 | FF: 14 | SL: 8 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 641793 | FF: 51 | SL: 25 | CU: 0 | CH: 0 | FS: 2 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 608678 | FF: 38 | SL: 14 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 17 | CS: 0 | None: 0 | 
Pitcher: 606424 | FF: 20 | SL: 3 | CU: 0 | CH: 22 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 665645 | FF: 40 | SL: 0 | CU: 16 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 501625 | FF: 0 | SL: 1 | CU: 0 | CH: 3 | FS: 0 | SI: 19 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
