Pitcher: Phil Maton | ID: 664208 | CU: 1182 | CH: 1 | SL: 478 | FF: 2181 | FS: 0 | SI: 77 | FC: 340 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Cristian Javier | ID: 664299 | CU: 0 | CH: 280 | SL: 1545 | FF: 3430 | FS: 0 | SI: 0 | FC: 0 | KC: 401 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Brandon Bielak | ID: 656232 | CU: 174 | CH: 235 | SL: 266 | FF: 727 | FS: 0 | SI: 192 | FC: 126 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Luis García | ID: 677651 | CU: 518 | CH: 585 | SL: 595 | FF: 2470 | FS: 0 | SI: 6 | FC: 1410 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: John Schreiber | ID: 670167 | CU: 0 | CH: 133 | SL: 576 | FF: 591 | FS: 0 | SI: 303 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Tanner Houck | ID: 656557 | CU: 0 | CH: 0 | SL: 980 | FF: 840 | FS: 177 | SI: 544 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Jake Diekman | ID: 518617 | CU: 0 | CH: 30 | SL: 1754 | FF: 2448 | FS: 0 | SI: 600 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Darwinzon Hernández | ID: 650382 | CU: 77 | CH: 0 | SL: 412 | FF: 1307 | FS: 0 | SI: 9 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Chris Sale | ID: 519242 | CU: 0 | CH: 1031 | SL: 2246 | FF: 2448 | FS: 0 | SI: 561 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Austin Davis | ID: 656354 | CU: 98 | CH: 468 | SL: 821 | FF: 1325 | FS: 0 | SI: 27 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Kaleb Ort | ID: 672391 | CU: 0 | CH: 36 | SL: 184 | FF: 328 | FS: 0 | SI: 1 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Nick Pivetta | ID: 601713 | CU: 0 | CH: 251 | SL: 1885 | FF: 5460 | FS: 0 | SI: 279 | FC: 0 | KC: 2799 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Nathan Eovaldi | ID: 543135 | CU: 1386 | CH: 0 | SL: 894 | FF: 3700 | FS: 1320 | SI: 0 | FC: 1746 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
