Pitcher: Matt Wisler | ID: 605538 | FF: 74 | SL: 730 | CU: 0 | SI: 0 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Ryan Yarbrough | ID: 642232 | FF: 8 | SL: 0 | CU: 439 | SI: 331 | CH: 693 | KC: 0 | FC: 993 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Collin Mchugh | ID: 543521 | FF: 112 | SL: 553 | CU: 31 | SI: 0 | CH: 1 | KC: 0 | FC: 341 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Luis Patino | ID: 672715 | FF: 846 | SL: 370 | CU: 66 | SI: 43 | CH: 68 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Drew Rasmussen | ID: 656876 | FF: 809 | SL: 376 | CU: 32 | SI: 2 | CH: 28 | KC: 0 | FC: 1 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: David Robertson | ID: 502085 | FF: 1 | SL: 35 | CU: 0 | SI: 0 | CH: 0 | KC: 48 | FC: 198 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Andrew Kittredge | ID: 552640 | FF: 112 | SL: 457 | CU: 0 | SI: 453 | CH: 4 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Michael Wacha | ID: 608379 | FF: 774 | SL: 0 | CU: 136 | SI: 79 | CH: 623 | KC: 0 | FC: 516 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Andrew Chafin | ID: 605177 | FF: 268 | SL: 250 | CU: 0 | SI: 420 | CH: 1 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Deolis Guerra | ID: 500610 | FF: 406 | SL: 154 | CU: 101 | SI: 86 | CH: 335 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Yusmeiro Petit | ID: 433589 | FF: 489 | SL: 0 | CU: 146 | SI: 0 | CH: 189 | KC: 0 | FC: 249 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Frankie Montas | ID: 593423 | FF: 877 | SL: 393 | CU: 0 | SI: 873 | CH: 0 | KC: 0 | FC: 193 | FS: 674 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Mike Mayers | ID: 594577 | FF: 473 | SL: 399 | CU: 1 | SI: 0 | CH: 2 | KC: 0 | FC: 382 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Alex Cobb | ID: 502171 | FF: 71 | SL: 0 | CU: 0 | SI: 664 | CH: 0 | KC: 258 | FC: 0 | FS: 581 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Sam Selman | ID: 572125 | FF: 270 | SL: 220 | CU: 0 | SI: 1 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Andrew Wantz | ID: 681806 | FF: 220 | SL: 86 | CU: 0 | SI: 0 | CH: 37 | KC: 0 | FC: 139 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Steve Cishek | ID: 518553 | FF: 244 | SL: 498 | CU: 0 | SI: 516 | CH: 3 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Jose Quijada | ID: 650671 | FF: 364 | SL: 65 | CU: 0 | SI: 0 | CH: 68 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Janson Junk | ID: 676083 | FF: 127 | SL: 57 | CU: 54 | SI: 0 | CH: 8 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Austin Warren | ID: 681810 | FF: 99 | SL: 124 | CU: 0 | SI: 52 | CH: 9 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Kyle Tyler | ID: 667725 | FF: 119 | SL: 58 | CU: 7 | SI: 0 | CH: 5 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Oliver Ortega | ID: 661383 | FF: 76 | SL: 0 | CU: 62 | SI: 0 | CH: 0 | KC: 0 | FC: 1 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Packy Naughton | ID: 676050 | FF: 122 | SL: 50 | CU: 9 | SI: 94 | CH: 106 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Jose Marte | ID: 665896 | FF: 4 | SL: 28 | CU: 0 | SI: 46 | CH: 0 | KC: 0 | FC: 6 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Jaime Barria | ID: 642545 | FF: 332 | SL: 334 | CU: 0 | SI: 173 | CH: 77 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Tyler Clippard | ID: 461325 | FF: 106 | SL: 10 | CU: 23 | SI: 79 | CH: 145 | KC: 0 | FC: 0 | FS: 63 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Joe Mantiply | ID: 573009 | FF: 46 | SL: 0 | CU: 203 | SI: 299 | CH: 120 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Humberto Castellanos | ID: 528748 | FF: 150 | SL: 45 | CU: 182 | SI: 242 | CH: 75 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Noe Ramirez | ID: 598287 | FF: 217 | SL: 0 | CU: 189 | SI: 0 | CH: 171 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Madison Bumgarner | ID: 518516 | FF: 821 | SL: 0 | CU: 510 | SI: 74 | CH: 184 | KC: 0 | FC: 832 | FS: 0 | CS: 5 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Josh Sborz | ID: 622250 | FF: 585 | SL: 317 | CU: 174 | SI: 0 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Kolby Allard | ID: 663465 | FF: 961 | SL: 0 | CU: 226 | SI: 8 | CH: 346 | KC: 0 | FC: 506 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Dennis Santana | ID: 642701 | FF: 57 | SL: 264 | CU: 23 | SI: 394 | CH: 188 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Glenn Otto | ID: 657248 | FF: 218 | SL: 158 | CU: 0 | SI: 0 | CH: 27 | KC: 44 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Dane Dunning | ID: 641540 | FF: 9 | SL: 418 | CU: 0 | SI: 1013 | CH: 257 | KC: 92 | FC: 157 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Kohei Arihara | ID: 685503 | FF: 208 | SL: 121 | CU: 17 | SI: 107 | CH: 88 | KC: 0 | FC: 86 | FS: 52 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Jordan Lyles | ID: 543475 | FF: 1191 | SL: 695 | CU: 552 | SI: 265 | CH: 226 | KC: 0 | FC: 84 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Hyeon-jong Yang | ID: 660365 | FF: 280 | SL: 144 | CU: 24 | SI: 0 | CH: 171 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: A. j. Alexy | ID: 669935 | FF: 231 | SL: 82 | CU: 34 | SI: 0 | CH: 77 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Wes Benjamin | ID: 605138 | FF: 213 | SL: 0 | CU: 79 | SI: 0 | CH: 58 | KC: 0 | FC: 128 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Spencer Howard | ID: 675921 | FF: 589 | SL: 51 | CU: 76 | SI: 6 | CH: 84 | KC: 0 | FC: 127 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Jimmy Herget | ID: 623474 | FF: 52 | SL: 76 | CU: 74 | SI: 97 | CH: 3 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Jose Suarez | ID: 660761 | FF: 648 | SL: 0 | CU: 367 | SI: 109 | CH: 449 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Paul Sewald | ID: 623149 | FF: 644 | SL: 457 | CU: 0 | SI: 0 | CH: 1 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Anthony Misiewicz | ID: 664948 | FF: 314 | SL: 0 | CU: 279 | SI: 0 | CH: 0 | KC: 0 | FC: 297 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Tyler Anderson | ID: 542881 | FF: 1000 | SL: 24 | CU: 24 | SI: 270 | CH: 664 | KC: 0 | FC: 712 | FS: 0 | CS: 1 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Drew Steckenrider | ID: 608716 | FF: 661 | SL: 0 | CU: 184 | SI: 0 | CH: 160 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Logan Gilbert | ID: 669302 | FF: 1301 | SL: 500 | CU: 0 | SI: 0 | CH: 163 | KC: 151 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Matt Andriese | ID: 542882 | FF: 375 | SL: 0 | CU: 108 | SI: 38 | CH: 289 | KC: 0 | FC: 44 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Sean Doolittle | ID: 448281 | FF: 700 | SL: 46 | CU: 78 | SI: 0 | CH: 0 | KC: 0 | FC: 0 | FS: 39 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Justus Sheffield | ID: 656954 | FF: 11 | SL: 468 | CU: 0 | SI: 672 | CH: 301 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Yusei Kikuchi | ID: 579328 | FF: 912 | SL: 484 | CU: 0 | SI: 0 | CH: 268 | KC: 0 | FC: 889 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Mark Melancon | ID: 453343 | FF: 30 | SL: 0 | CU: 0 | SI: 0 | CH: 0 | KC: 362 | FC: 657 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Chris Paddack | ID: 663978 | FF: 1139 | SL: 0 | CU: 229 | SI: 0 | CH: 488 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Daniel Hudson | ID: 543339 | FF: 607 | SL: 257 | CU: 0 | SI: 2 | CH: 27 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Joe Musgrove | ID: 605397 | FF: 593 | SL: 811 | CU: 687 | SI: 149 | CH: 142 | KC: 0 | FC: 532 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Emilio Pagan | ID: 641941 | FF: 669 | SL: 0 | CU: 0 | SI: 0 | CH: 12 | KC: 0 | FC: 412 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Pierce Johnson | ID: 572955 | FF: 338 | SL: 0 | CU: 702 | SI: 0 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Jake Arrieta | ID: 453562 | FF: 0 | SL: 408 | CU: 264 | SI: 908 | CH: 142 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Casey Sadler | ID: 594987 | FF: 2 | SL: 0 | CU: 193 | SI: 162 | CH: 2 | KC: 0 | FC: 243 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Joe Smith | ID: 501925 | FF: 150 | SL: 226 | CU: 0 | SI: 256 | CH: 14 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Chris Flexen | ID: 623167 | FF: 1148 | SL: 0 | CU: 443 | SI: 0 | CH: 443 | KC: 0 | FC: 839 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Jharel Cotton | ID: 605194 | FF: 253 | SL: 81 | CU: 47 | SI: 0 | CH: 170 | KC: 0 | FC: 7 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
